config_file,kind,policy,algorithm,seed,episodes,episode_time_steps,dataset_name,target,image_tag
remote_20260522_scorecard_2022_random.yaml,baseline,random,RandomPolicy,123,1,8760,citylearn_challenge_2022_phase_all_plus_evs_data_2026_05_21,server,sha-f20cc24
remote_20260522_scorecard_2022_normal_no_battery.yaml,baseline,normal_no_battery,NormalNoBatteryPolicy,123,1,8760,citylearn_challenge_2022_phase_all_plus_evs_data_2026_05_21,server,sha-f20cc24
remote_20260522_scorecard_2022_normal.yaml,baseline,normal,NormalPolicy,123,1,8760,citylearn_challenge_2022_phase_all_plus_evs_data_2026_05_21,server,sha-f20cc24
remote_20260522_scorecard_2022_rbc_basic.yaml,baseline,rbc_basic,RBCBasicPolicy,123,1,8760,citylearn_challenge_2022_phase_all_plus_evs_data_2026_05_21,deucalion-cpu,sha-f20cc24
remote_20260522_scorecard_2022_rbc_smart.yaml,baseline,rbc_smart,RBCSmartPolicy,123,1,8760,citylearn_challenge_2022_phase_all_plus_evs_data_2026_05_21,deucalion-cpu,sha-f20cc24
remote_20260522_scorecard_2022_maddpg_v48_seed123.yaml,rl_marl,maddpg_v48,MADDPG,123,6,8760,citylearn_challenge_2022_phase_all_plus_evs_data_2026_05_21,deucalion-gpu,sha-f20cc24
remote_20260522_scorecard_2022_maddpg_v48_seed456.yaml,rl_marl,maddpg_v48,MADDPG,456,6,8760,citylearn_challenge_2022_phase_all_plus_evs_data_2026_05_21,deucalion-gpu,sha-f20cc24
remote_20260522_scorecard_2022_maddpg_v48_seed789.yaml,rl_marl,maddpg_v48,MADDPG,789,6,8760,citylearn_challenge_2022_phase_all_plus_evs_data_2026_05_21,deucalion-gpu,sha-f20cc24
remote_20260522_scorecard_2022_matd3_service_storage_guard_seed123.yaml,rl_marl,matd3_service_storage_guard,MATD3,123,6,8760,citylearn_challenge_2022_phase_all_plus_evs_data_2026_05_21,deucalion-gpu,sha-f20cc24
remote_20260522_scorecard_2022_matd3_service_storage_guard_seed456.yaml,rl_marl,matd3_service_storage_guard,MATD3,456,6,8760,citylearn_challenge_2022_phase_all_plus_evs_data_2026_05_21,deucalion-gpu,sha-f20cc24
remote_20260522_scorecard_2022_matd3_service_storage_guard_seed789.yaml,rl_marl,matd3_service_storage_guard,MATD3,789,6,8760,citylearn_challenge_2022_phase_all_plus_evs_data_2026_05_21,deucalion-gpu,sha-f20cc24
remote_20260522_scorecard_2022_matd3_storage_guard_seed123.yaml,rl_marl,matd3_storage_guard,MATD3,123,6,8760,citylearn_challenge_2022_phase_all_plus_evs_data_2026_05_21,deucalion-gpu,sha-f20cc24
remote_20260522_scorecard_2022_matd3_storage_guard_seed456.yaml,rl_marl,matd3_storage_guard,MATD3,456,6,8760,citylearn_challenge_2022_phase_all_plus_evs_data_2026_05_21,deucalion-gpu,sha-f20cc24
remote_20260522_scorecard_2022_matd3_storage_guard_seed789.yaml,rl_marl,matd3_storage_guard,MATD3,789,6,8760,citylearn_challenge_2022_phase_all_plus_evs_data_2026_05_21,deucalion-gpu,sha-f20cc24
