config_file,scope,dataset_label,dataset_variant,dataset_name,agent,seed,uploaded,source_config
remote_20260520_smoke_15s_no_v2g_rbc_smart.yaml,smoke,15s,no_v2g,citylearn_three_phase_electrical_service_demo_15s_parquet_no_v2g_data_2026_05_20,rbc_smart,123,False,remote_20260520_smoke_15s_rbc_smart.yaml
remote_20260520_smoke_15s_no_v2g_maddpg_v48.yaml,smoke,15s,no_v2g,citylearn_three_phase_electrical_service_demo_15s_parquet_no_v2g_data_2026_05_20,maddpg,123,False,remote_20260520_smoke_15s_maddpg_v48.yaml
remote_20260520_baseline_15s_no_v2g_rbc_smart.yaml,baseline,15s,no_v2g,citylearn_three_phase_electrical_service_demo_15s_parquet_no_v2g_data_2026_05_20,rbc_smart,123,False,remote_20260520_baseline_15s_rbc_smart.yaml
remote_20260520_full_15s_no_v2g_maddpg_v48_seed123.yaml,full,15s,no_v2g,citylearn_three_phase_electrical_service_demo_15s_parquet_no_v2g_data_2026_05_20,maddpg,123,False,remote_20260520_full_15s_maddpg_v48_seed123.yaml
remote_20260520_smoke_15s_multi_charger_rbc_smart.yaml,smoke,15s,multi_charger,citylearn_three_phase_electrical_service_demo_15s_parquet_multi_charger_data_2026_05_20,rbc_smart,123,False,remote_20260520_smoke_15s_rbc_smart.yaml
remote_20260520_smoke_15s_multi_charger_maddpg_v48.yaml,smoke,15s,multi_charger,citylearn_three_phase_electrical_service_demo_15s_parquet_multi_charger_data_2026_05_20,maddpg,123,False,remote_20260520_smoke_15s_maddpg_v48.yaml
remote_20260520_baseline_15s_multi_charger_rbc_smart.yaml,baseline,15s,multi_charger,citylearn_three_phase_electrical_service_demo_15s_parquet_multi_charger_data_2026_05_20,rbc_smart,123,False,remote_20260520_baseline_15s_rbc_smart.yaml
remote_20260520_full_15s_multi_charger_maddpg_v48_seed123.yaml,full,15s,multi_charger,citylearn_three_phase_electrical_service_demo_15s_parquet_multi_charger_data_2026_05_20,maddpg,123,False,remote_20260520_full_15s_maddpg_v48_seed123.yaml
remote_20260520_smoke_2022_no_v2g_rbc_smart.yaml,smoke,2022,no_v2g,citylearn_challenge_2022_phase_all_plus_evs_no_v2g_data_2026_05_20,rbc_smart,123,False,remote_20260520_smoke_2022_rbc_smart.yaml
remote_20260520_smoke_2022_no_v2g_maddpg_v48.yaml,smoke,2022,no_v2g,citylearn_challenge_2022_phase_all_plus_evs_no_v2g_data_2026_05_20,maddpg,123,False,remote_20260520_smoke_2022_maddpg_v48.yaml
remote_20260520_baseline_2022_no_v2g_rbc_smart.yaml,baseline,2022,no_v2g,citylearn_challenge_2022_phase_all_plus_evs_no_v2g_data_2026_05_20,rbc_smart,123,False,remote_20260520_baseline_2022_rbc_smart.yaml
remote_20260520_full_2022_no_v2g_maddpg_v48_seed123.yaml,full,2022,no_v2g,citylearn_challenge_2022_phase_all_plus_evs_no_v2g_data_2026_05_20,maddpg,123,False,remote_20260520_full_2022_maddpg_v48_seed123.yaml
remote_20260520_smoke_2022_multi_charger_rbc_smart.yaml,smoke,2022,multi_charger,citylearn_challenge_2022_phase_all_plus_evs_multi_charger_data_2026_05_20,rbc_smart,123,False,remote_20260520_smoke_2022_rbc_smart.yaml
remote_20260520_smoke_2022_multi_charger_maddpg_v48.yaml,smoke,2022,multi_charger,citylearn_challenge_2022_phase_all_plus_evs_multi_charger_data_2026_05_20,maddpg,123,False,remote_20260520_smoke_2022_maddpg_v48.yaml
remote_20260520_baseline_2022_multi_charger_rbc_smart.yaml,baseline,2022,multi_charger,citylearn_challenge_2022_phase_all_plus_evs_multi_charger_data_2026_05_20,rbc_smart,123,False,remote_20260520_baseline_2022_rbc_smart.yaml
remote_20260520_full_2022_multi_charger_maddpg_v48_seed123.yaml,full,2022,multi_charger,citylearn_challenge_2022_phase_all_plus_evs_multi_charger_data_2026_05_20,maddpg,123,False,remote_20260520_full_2022_maddpg_v48_seed123.yaml
